combo_concept_id	combo_label	umls_ids	mesh_ids	synonyms	provenance_urls
1.1.1.10	Intermittent_Fasting		MESH:D000093763	Time Restricted EatingBreakfast Skipping|Time Restricted Feeding|Time Restricted Fasting|Meal Skipping	http://purl.bioontology.org/ontology/MESH/D000093763
1.1.2	Gerson_Therapy	UMLS:C1831723		N/A	http://purl.bioontology.org/ontology/PDQ/CDR0000453793|https://uts.nlm.nih.gov/uts/umls/concept/C1831723
1.1.3	Gonzalez_Regimen	UMLS:C1831689		N/A	http://purl.bioontology.org/ontology/PDQ/CDR0000441094|https://uts.nlm.nih.gov/uts/umls/concept/C1831689
1.1.4	Dietary_Macronutrients_Therapy	UMLS:C1880312		N/A	http://purl.bioontology.org/ontology/PDQ/CDR0000574290|https://uts.nlm.nih.gov/uts/umls/concept/C1880312
1.1.5	Antioxidants_Therapy	UMLS:C1879713		N/A	http://purl.bioontology.org/ontology/PDQ/CDR0000574289|https://uts.nlm.nih.gov/uts/umls/concept/C1879713
1.1.6	Dietary_Supplementation	UMLS:C0242297		N/A	https://uts.nlm.nih.gov/uts/umls/concept/C0242297
1.1.7	Microbiome_Metabolite_Therapy			Microbiome Metabolite	
1.1.8	Food_Metabolite_Based_Therapy			Food Metabolite	
1.1.9	Mindful_Eating			N/A	
1.1.10	Orthomolecular_Therapy	UMLS:C0029340		Orthomolecular Medicine	https://uts.nlm.nih.gov/uts/umls/concept/C0029340|http://purl.bioontology.org/ontology/PDQ/CDR0000574288
1.1.11	Immunoaugmentative_Therapy	UMLS:C1881140		N/A	http://purl.bioontology.org/ontology/PDQ/CDR0000574093|https://uts.nlm.nih.gov/uts/umls/concept/C1881140
1.1.12	Antineoplastons_Therapy	UMLS:C1879712		N/A	https://uts.nlm.nih.gov/uts/umls/concept/C1879712|http://purl.bioontology.org/ontology/PDQ/CDR0000574092
1.1.13	Chelation_Therapy	UMLS:C0007975		N/A	https://www.nccih.nih.gov/health/chelation-for-coronary-heart-disease-what-you-need-to-know|https://uts.nlm.nih.gov/uts/umls/concept/C0007975
1.1.14	Practitioner_Guided_Detoxification			N/A	
1.2	Physical_Intervention			N/A	
1.2.1	Acupuncture	UMLS:C0394664	MESH:D015670	Acupotomy|Acupuncture Therapy|Pharmacoacupuncture Treatment|Pharmacoacupuncture Therapy|Acupotomies|Acupuncture Treatment|Acupuncture Treatments|ACP - Acupuncture	http://purl.bioontology.org/ontology/PDQ/CDR0000372888|http://purl.bioontology.org/ontology/RCD/856..|https://uts.nlm.nih.gov/uts/umls/concept/C0394664|https://www.nccih.nih.gov/health/acupuncture-effectiveness-and-safety|http://purl.bioontology.org/ontology/MESH/D015670
1.2.1.1	Acupuncture_for_Anesthesia	UMLS:C0001301		Acupuncture Anesthesia	https://uts.nlm.nih.gov/uts/umls/concept/C0001301|http://purl.bioontology.org/ontology/RCD/8561.
1.2.1.2	Acupuncture_for_Analgesia	UMLS:C0001300	MESH:D015667	Acupuncture Analgesia	https://uts.nlm.nih.gov/uts/umls/concept/C0001300|http://purl.bioontology.org/ontology/MESH/D015667|http://purl.bioontology.org/ontology/RCD/8562.
1.2.1.3	Auricular_Acupuncture	UMLS:C0752217	MESH:D020831	Auricular Acupunctures|Ear Acupuncture|Ear Acupunctures	http://purl.bioontology.org/ontology/MESH/D020831|https://uts.nlm.nih.gov/uts/umls/concept/C0752217
1.2.1.4	Electroacupuncture	UMLS:C0013794	MESH:D015671	Electro-acupuncture|electroacupuncture therapy|electro acupuncture	https://uts.nlm.nih.gov/uts/umls/concept/C0013794|http://purl.bioontology.org/ontology/PDQ/CDR0000372889|http://purl.bioontology.org/ontology/MESH/D015671
1.2.1.4.1	Electroacupuncture_After_Voll	UMLS:C0394660		N/A	http://purl.bioontology.org/ontology/RCD/X00Kg|https://uts.nlm.nih.gov/uts/umls/concept/C0394660
1.2.1.4.2	Vega_Electroacupuncture_Therapy	UMLS:C0394661		N/A	http://purl.bioontology.org/ontology/RCD/X00Kh|https://uts.nlm.nih.gov/uts/umls/concept/C0394661
1.2.1.5	Japanese_Acupuncture			N/A	
1.2.1.6	Laser_Acupuncture	UMLS:C0394654		Laser acupuncture therapy	http://purl.bioontology.org/ontology/RCD/X00KZ|https://uts.nlm.nih.gov/uts/umls/concept/C0394654
1.2.1.7	Korean_Acupuncture			N/A	
1.2.1.8	Single_Point_Acupuncture			N/A	
1.2.1.9	Hand_Acupuncture			N/A	
1.2.1.10	Foot_Acupuncture			N/A	
1.2.1.11	Acu_Moxibustion			Acu-Moxi	
1.2.1.11.1	Needle_Moxibustion			N/A	
1.2.1.11.1.1	Warm_Needle_Moxibustion			N/A	
1.2.1.12	Chinese_Acupuncture			N/A	
1.2.2	Trigger_Point_Acupuncture	UMLS:C2986609		N/A	https://uts.nlm.nih.gov/uts/umls/concept/C2986609
1.2.3	Auriculotherapy	UMLS:C2350276	MESH:D055097	N/A	https://uts.nlm.nih.gov/uts/umls/concept/C2350276|http://purl.bioontology.org/ontology/MESH/D055097
1.2.3.1	Auricular_Acupuncture				
1.2.3.2	Battlefield_Acupuncture			N/A	
1.2.3.3	Cryo_Auriculotherapy			N/A	
1.2.4	Acustimulation_Therapy	UMLS:C1515885		Acustimulation	https://uts.nlm.nih.gov/uts/umls/concept/C1515885
1.2.4.1	Transcutaneous_Electrical_Acustimulation			N/A	
1.2.4.2	Acupoint_Stimulation			N/A	
1.2.5	Percutaneous_Collagen_Induction	UMLS:C5780323	MESH:D000097244	Microneedling|Skin Needling	http://purl.bioontology.org/ontology/MESH/D000097244|https://uts.nlm.nih.gov/uts/umls/concept/C5780323
1.2.6	Mind	UMLS:C0260173	MESH:D026441	Mind Body Therapies|Mind-Body Medicine	http://purl.bioontology.org/ontology/MESH/D026441|https://uts.nlm.nih.gov/uts/umls/concept/C0260173
1.2.6.1	Breathing_Exercise	UMLS:C0006155	MESH:D001945	Respiratory Muscle Training	http://purl.bioontology.org/ontology/MESH/D001945|https://uts.nlm.nih.gov/uts/umls/concept/C0006155
1.2.6.1.1	Buteyko_Breathing_Technique			Eucapnic Buteyko Breathing|Buteyko Institute Method|Eucapnic Breathing Technique|Buteyko Technique|Buteyko Method|Buteyko Breathing Training	
1.2.6.1.2	Deep_Breathing	UMLS:C1328799		Breathwork	https://uts.nlm.nih.gov/uts/umls/concept/C1328799
1.2.6.2	Relaxation_Technique	UMLS:C0035029	MESH:D012064	Ecotherapy|Therapeutic Relaxation|Relaxation Techniques|Relaxation Practice|Ecotherapies|Relaxation Therapy|Nature Therapies	http://purl.bioontology.org/ontology/MESH/D012064|https://www.nccih.nih.gov/health/relaxation-techniques-what-you-need-to-know|https://uts.nlm.nih.gov/uts/umls/concept/C0035029
1.2.6.2.1	Art_Therapy	UMLS:C0003827	MESH:D001155	Art Stimulation|Artistic therapies|Art Therapies	https://uts.nlm.nih.gov/uts/umls/concept/C0003827|http://purl.bioontology.org/ontology/PDQ/CDR0000574226|http://purl.bioontology.org/ontology/MESH/D001155
1.2.6.2.1.1	Visual_Art_Therapy			N/A	
1.2.6.2.1.1.1	Pottery	UMLS:C3468077		N/A	https://uts.nlm.nih.gov/uts/umls/concept/C3468077
1.2.6.2.1.1.2	Chinese_Calligraphy_Therapy			N/A	
1.2.6.2.1.1.3	Clay_Art_Therapy			N/A	
1.2.6.2.1.1.4	Mandala_Therapy			Mandalas	
1.2.6.2.1.2	Creative_Art_Therapy	UMLS:C0870372		Creative Arts Intervention|Creative Art Intervention|Creative Arts Therapy	https://uts.nlm.nih.gov/uts/umls/concept/C0870372
1.2.6.2.1.2.1	Creative_Expression			N/A	
1.2.6.2.1.2.2	Artistic_Therapy_Painting			artistic therapies-painting	
1.2.6.2.1.3	Phenomenological_Art_Therapy			N/A	
1.2.6.2.1.4	Mindfulness_Based_Art_Therapy			N/A	
1.2.6.2.1.5	Psychodynamic_Group_Art_Therapy			N/A	
1.2.6.2.1.6	Anthroposophic_Art_Therapy			N/A	
1.2.6.2.2	Humor_Therapy	UMLS:C0597811		N/A	https://uts.nlm.nih.gov/uts/umls/concept/C0597811
1.2.6.2.2.1	Laughter_Therapy	UMLS:C0949806	MESH:D027641	Clown Therapy|Clown Therapies	http://purl.bioontology.org/ontology/MESH/D027641|https://uts.nlm.nih.gov/uts/umls/concept/C0949806
1.2.6.2.2.1.1	Laughter_Yoga	UMLS:C4045984	MESH:D027641	N/A	https://uts.nlm.nih.gov/uts/umls/concept/C4045984|http://purl.bioontology.org/ontology/MESH/D027641
1.2.6.2.3	Music_Therapy	UMLS:C0026868	MESH:D009147	Music In Therapy|Music Intervention|Music-Based Intervention	https://www.nccih.nih.gov/health/music-and-health-what-you-need-to-know|http://purl.bioontology.org/ontology/MESH/D009147|http://purl.bioontology.org/ontology/PDQ/CDR0000526238|https://uts.nlm.nih.gov/uts/umls/concept/C0026868
1.2.6.2.3.1	Musical_Game			Musical Games	
1.2.6.2.3.2	Orff_Based_Music_Therapy			N/A	
1.2.6.2.3.3	Lyric_Analysis			N/A	
1.2.6.2.3.4	Medical_Resonance_Therapy_Music			MRT-Music	
1.2.6.2.3.5	Musical_Motor_Feedback			N/A	
1.2.6.2.3.6	Evocative_Music			N/A	
1.2.6.2.3.7	Raga_Therapy	UMLS:C5057506		Ragas	https://uts.nlm.nih.gov/uts/umls/concept/C5057506
1.2.6.2.3.8	Dinner_Music_Intervention			N/A	
1.2.6.2.3.9	Active_Music_Therapy			N/A	
1.2.6.2.3.9.1	Interactive_Music_Therapy			N/A	
1.2.6.2.3.10	Music_Based_Imagery			Guided Imagery and Music	
1.2.6.2.3.11	Individualized_Music_Focused_Auditory_Therapy			N/A	
1.2.6.2.3.12	Lullaby_Therapy			N/A	
1.2.6.2.3.13	Music_Reinforced_Therapy			N/A	
1.2.6.2.3.14	Instructional_Music_Therapy			N/A	
1.2.6.2.3.15	Improvisational_Music_Therapy			N/A	
1.2.6.2.3.16	Group_Chanting_and_Singing			N/A	
1.2.6.2.3.17	Music_Listening_Intervention			N/A	
1.2.6.2.3.18	Musicokinetic_Therapy			N/A	
1.2.6.2.3.19	Calming_Music_Therapy			N/A	
1.2.6.2.3.20	Live_Music_Therapy			N/A	
1.2.6.2.3.21	Group_Drumming			N/A	
1.2.6.2.3.22	Contingent_Music			N/A	
1.2.6.2.3.23	Music_Video_Therapy			N/A	
1.2.6.2.3.24	Music_Exposure_Therapy			N/A	
1.2.6.2.3.25	Music_Assisted_Reframing			N/A	
1.2.6.2.3.26	Karaoke_Therapy			N/A	
1.2.6.2.4	Reflexology	UMLS:C0034945	MESH:D012028	reflexotherapy|reflexology procedure|Reflex Therapy	"https://www.nccih.nih.gov/health/reflexology|http://purl.bioontology.org/ontology/PDQ/CDR0000634136|https://uts.nlm.nih.gov/uts/umls/concept/C0034945|http://purl.bioontology.org/ontology/MESH/D012028"""
1.2.6.2.4.1	Acu_Reflexology	UMLS:C1273536		N/A	http://purl.bioontology.org/ontology/RCTV2/8BF2.00|https://uts.nlm.nih.gov/uts/umls/concept/C1273536
1.2.6.2.4.2	Lymphatic_Reflexology			N/A	
1.2.6.2.4.3	Foot_Reflexology			N/A	
1.2.6.2.4.4	Hand_Reflexology			N/A	
1.2.6.2.4.5	Ear_Reflexology	UMLS:C1442582		N/A	https://uts.nlm.nih.gov/uts/umls/concept/C1442582
1.2.6.2.5	Progressive_Muscle_Relaxation	UMLS:C0454043		Progressive Relaxation|Progressive Muscular Relaxation	https://uts.nlm.nih.gov/uts/umls/concept/C0454043
1.2.6.2.5.1	Abbreviated_Muscle_Relaxation_Therapy			N/A	
1.2.6.2.5.2	Music_Assisted_Progressive_Muscle_Relaxation			N/A	
1.2.6.2.6	Applied_Relaxation			N/A	
1.2.6.2.7	Relaxation_Training			N/A	
1.2.6.3	Biofeedback	UMLS:C0005491	MESH:D001676	Myofeedbacks|Psychophysiologic Feedback|Biofeedback Training|Psychology Biofeedback|Bogus Physiological Feedback|False Physiological Feedbacks|Biofeedback Therapy|Psychology Biofeedbacks|Myofeedback|Biofeedbacks (Psychology)|Bogus Physiological Feedbacks|Biofeedback (Psychology)|False Physiological Feedback	"https://www.cancer.gov/about-cancer/treatment/clinica|http://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C15186""|http://purl.bioontology.org/ontology/PDQ/CDR0000574223|http://purl.bioontology.org/ontology/MESH/D001676|https://uts.nlm.nih.gov/uts/umls/concept/C0005491"
1.2.6.3.1	Sensory_Feedback	UMLS:C0178842	MESH:D056228	Sensorimotor Feedbacks|Sensory Feedback|Visual Feedback|Audio Feedbacks|Proprioceptive Feedbacks|Visual Feedbacks|Sensory Feedbacks|Sensorimotor Feedback|Audio Feedback|Proprioceptive Feedback	http://purl.bioontology.org/ontology/MESH/D056228|https://uts.nlm.nih.gov/uts/umls/concept/C0178842
1.2.6.3.2	Neurofeedback	UMLS:C2713543	MESH:D058765	Electroencephalography Biofeedback|EEG Feedback|Neurofeedbacks|Brainwave Feedback|Brainwave Feedbacks	https://uts.nlm.nih.gov/uts/umls/concept/C2713543|http://purl.bioontology.org/ontology/MESH/D058765
1.2.6.3.3	Heart_Rate_Variability_Biofeedback			HRV Biofeedback	
1.2.6.3.3.1	Heart_Coherence			N/A	
1.2.6.3.4	Electromyography_Biofeedback			EMG Biofeedback	
1.2.6.3.5	Electroencephalogram_Biofeedback			EEG Biofeedback	
1.2.6.3.6	Assisted_Biofeedback			N/A	
1.2.6.4	Exercise_Therapy	UMLS:C4082302		CAM Exercise Therapy	https://uts.nlm.nih.gov/uts/umls/concept/C4082302|http://purl.bioontology.org/ontology/PDQ/CDR0000574239
1.2.6.4.1	Meditative_Movement			N/A	
1.2.6.4.1.1	Pilates_Based_Exercise	UMLS:C1720840		Pilate	https://uts.nlm.nih.gov/uts/umls/concept/C1720840
1.2.6.4.1.2	Tai_Chi	UMLS:C0376403	MESH:D026302	Ji Quan, Tai|Tai Ji|Taiji|T'ai Chi|Tai-ji|Tai Chi Chih|Tai Ji Quan|Tai-Chi|Taichi Quan|Tai Chi Chuan|Taijiquan	https://uts.nlm.nih.gov/uts/umls/concept/C0376403|http://purl.bioontology.org/ontology/MESH/D026302|https://www.nccih.nih.gov/health/tai-chi-what-you-need-to-know
1.2.6.4.1.3	Yoga_Therapy	UMLS:C1883583	MESH:D009147	Yoga Exercise|yoga	http://purl.bioontology.org/ontology/PDQ/CDR0000526236|http://purl.bioontology.org/ontology/MESH/D009147|https://www.nccih.nih.gov/health/music-and-health-what-you-need-to-know|https://uts.nlm.nih.gov/uts/umls/concept/C1883583
1.2.6.4.1.3.1	Laughter_Yoga				
1.2.6.4.1.3.2	Kundalini_Yoga			Yoga of Awareness|Kundalini|Coiled Yoga	
1.2.6.4.1.3.3	Raja_Yoga			Raja|Roya Yoga	
1.2.6.4.1.3.4	Circular_Yoga			N/A	
1.2.6.4.1.3.5	Face_Yoga			N/A	
1.2.6.4.1.3.6	Pranayama_Yoga			N/A	
1.2.6.4.1.3.7	Sudarshana_Kriya_Yoga			N/A	
1.2.6.4.1.3.8	Kripalu_Yoga			N/A	
1.2.6.4.1.3.9	Hot_Yoga			N/A	
1.2.6.4.1.3.9.1	Bikram_Yoga			Bikram	
1.2.6.4.1.3.10	Ashtanga_Yoga			Ashtanga	
1.2.6.4.1.3.11	Tibetan_Yoga			N/A	
1.2.6.4.1.3.12	Chair_Yoga			N/A	
1.2.6.4.1.3.13	Sivananda_Yoga			N/A	
1.2.6.4.1.3.14	Bhakti_Yoga			Bhakti	
1.2.6.4.1.3.15	Tantra_Yoga			N/A	
1.2.6.4.1.3.16	Vinyasa_Yoga			N/A	
1.2.6.4.1.3.17	Creative_Yoga			N/A	
1.2.6.4.1.3.18	Relaxing_Yoga			N/A	
1.2.6.4.1.3.19	Power_Yoga			N/A	
1.2.6.4.1.3.20	Iyengar_Yoga			Iyengar|yoga Iyengar	
1.2.6.4.1.3.21	Karma_Yoga			Karma	
1.2.6.4.1.3.22	Jinana_Yoga			N/A	
1.2.6.4.1.3.23	Sahaj_Yoga			N/A	
1.2.6.4.1.3.24	Hatha_Yoga			Hatha	
1.2.6.4.1.3.25	Yoga_Nidra			N/A	
1.2.6.4.1.4	Qigong_Therapy	UMLS:C0282077	MESH:D064906	Chi Kung|Ch'i Kung|Qigong|Qi Gong Therapy|Qi Gong	http://purl.bioontology.org/ontology/MESH/D064906|https://uts.nlm.nih.gov/uts/umls/concept/C0282077|https://www.nccih.nih.gov/health/qigong-what-you-need-to-know
1.2.6.4.1.4.1	Hua_Gong			N/A	
1.2.6.4.1.4.2	Medical_Qigong			N/A	
1.2.6.4.1.4.2.1	External_Qi_Gong_Therapy	UMLS:C4727539		External Qigong Therapy	https://uts.nlm.nih.gov/uts/umls/concept/C4727539
1.2.6.4.1.4.2.2	Dongeui_Qigong			N/A	
1.2.6.4.1.4.2.3	Guolin_Qigong			Guolin	
1.2.6.4.1.4.2.4	Qigong_Healer			N/A	
1.2.6.4.1.4.3	Chan_Mi_Gong			N/A	
1.2.6.4.1.4.4	Yi_Jia_Gong			N/A	
1.2.6.4.1.4.5	Biyun_Qi_Gong			N/A	
1.2.6.4.1.4.6	Daoyin_Qi_Gong			N/A	
1.2.6.4.1.4.7	Qi_Gong_Yangsheng			N/A	
1.2.6.4.1.4.8	Baduanjin_Qi_Gong			Eight-Section Brocades Qi Gong|Baduanjin	
1.2.6.4.1.4.9	Five_Animals_Qi_Gong			N/A	
1.2.6.4.2	Dance_Therapy	UMLS:C0010962	MESH:D003614	Dance Therapies	https://uts.nlm.nih.gov/uts/umls/concept/C0010962|http://purl.bioontology.org/ontology/MESH/D003614
1.2.6.4.3	Aikido	UMLS:C0078912		N/A	https://uts.nlm.nih.gov/uts/umls/concept/C0078912
1.2.6.4.4	Motor_Control_Exercise			N/A	
1.2.6.4.5	Facial_Exercise	UMLS:C0454333		Facial Training|Face Training	https://uts.nlm.nih.gov/uts/umls/concept/C0454333
1.2.6.4.5.1	Face_Yoga				
1.2.6.4.5.2	Facial_Resistance_Training			N/A	
1.2.6.4.5.3	Face_Shaping			N/A	
1.2.6.4.6	Guided_Physical_Activity			N/A	
1.2.6.5	Movement_Education			N/A	
1.2.6.5.1	Alexander_Technique	UMLS:C0597812		Technique Alexander|AT|FM Alexander Technique	https://uts.nlm.nih.gov/uts/umls/concept/C0597812
1.2.6.5.1.1	Alexander_Proprioception			N/A	
1.2.6.5.2	Aston_Patterning	UMLS:C0695542		N/A	https://uts.nlm.nih.gov/uts/umls/concept/C0695542
1.2.6.6	Art_of_Living			Art of Living Foundation|Art of Living(AOL)|Art of Living Foundation(AOLF)	
1.2.6.7	Eurythmy			N/A	
1.2.6.8	Feldenkrais_Method			Feldenkrais Bodywork|Gestalt Synergy|Awareness Through Movement	
1.2.6.8.1	Functional_Integration			N/A	
1.2.6.9	Flotation_Therapy			N/A	
1.2.6.10	Sophrology			N/A	
1.2.7	Movement_Therapy	UMLS:C0454279		N/A	https://uts.nlm.nih.gov/uts/umls/concept/C0454279
1.2.7.1	Continuous_Passive_Movement_Therapy	UMLS:C0026604	MESH:D015915	CPM Therapy|CPM Therapies|Continuous Passive Motion Therapy	http://purl.bioontology.org/ontology/MESH/D015915|https://uts.nlm.nih.gov/uts/umls/concept/C0026604
1.2.8	Energy_Based_Therapy	UMLS:C1516875		energy therapy|energy healing|Energy medicine|energy filed work|energy work|energy therapies	http://purl.bioontology.org/ontology/PDQ/CDR0000372897|https://uts.nlm.nih.gov/uts/umls/concept/C1516875
1.2.8.1	Putative_Energy_Therapy			N/A	
1.2.8.1.1	Tai_Chi				
1.2.8.1.2	Qigong_Therapy				
1.2.8.1.2.1	Hua_Gong				
1.2.8.1.2.2	Medical_Qigong				
1.2.8.1.2.2.1	External_Qi_Gong_Therapy				
1.2.8.1.2.2.2	Dongeui_Qigong				
1.2.8.1.2.2.3	Guolin_Qigong				
1.2.8.1.2.2.4	Qigong_Healer				
1.2.8.1.2.3	Chan_Mi_Gong				
1.2.8.1.2.4	Yi_Jia_Gong				
1.2.8.1.2.5	Biyun_Qi_Gong				
1.2.8.1.2.6	Daoyin_Qi_Gong				
1.2.8.1.2.7	Qi_Gong_Yangsheng				
1.2.8.1.2.8	Baduanjin_Qi_Gong				
1.2.8.1.2.9	Five_Animals_Qi_Gong				
1.2.8.1.3	Biofield_Therapy	UMLS:C1511139		Biofield Medicine|Biofield Energy Therapy|Bioenergy Healing|Biofields	"https://www.cancer.gov/about-cancer/treatment/clinical-trials/intervention/C15910""|http://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C15910""|http://purl.bioontology.org/ontology/PDQ/CDR0000574167|https://uts.nlm.nih.gov/uts/umls/concept/C1511139"
1.2.8.1.3.1	Reiki_Therapy	UMLS:C0751715		Reiki	"https://www.cancer.gov/about-cancer/treatment/clinical-trials/intervention/C15728""|http://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI|http://purl.bioontology.org/ontology/PDQ/CDR0000574168|http://purl.bioontology.org/ontology/RCTV2/8BF5.00|https://www.nccih.nih.gov/health/reiki|https://uts.nlm.nih.gov/uts/umls/concept/C0751715"
1.2.8.1.3.1.1	Japanese_Reiki			N/A	
1.2.8.1.3.1.2	Buddhist_Reiki			N/A	
1.2.8.1.3.2	Therapeutic_Touch	UMLS:C0152054	MESH:D019124	Laying-on-of-Hands	http://purl.bioontology.org/ontology/MESH/D019124|https://uts.nlm.nih.gov/uts/umls/concept/C0152054|http://purl.bioontology.org/ontology/PDQ/CDR0000470290
1.2.8.1.3.3	Healing_Touch	UMLS:C1160821		N/A	https://uts.nlm.nih.gov/uts/umls/concept/C1160821|https://naturalmedicines.therapeuticresearch.com/databases/health-wellness/professional.aspx?productid=1448
1.2.8.1.3.4	Zero_Balancing	UMLS:C0695568		Core Zero Balancing	https://naturalmedicines.therapeuticresearch.com/databases/health-wellness/professional.aspx?productid=1421|https://uts.nlm.nih.gov/uts/umls/concept/C0695568
1.2.8.1.3.5	Polarity_Therapy	UMLS:C0695573		N/A	https://uts.nlm.nih.gov/uts/umls/concept/C0695573
1.2.8.1.4	Color_Therapy	UMLS:C0085102	MESH:D016500	Chromatotherapy|Color Medicine|Colorology|Chromotherapy	https://uts.nlm.nih.gov/uts/umls/concept/C0085102|https://naturalmedicines.therapeuticresearch.com/databases/health-wellness/professional.aspx?productid=1213|http://purl.bioontology.org/ontology/MESH/D016500
1.2.8.1.4.1	Aura_Soma_Therapy			N/A	
1.2.8.1.5	Crystal_Therapy	UMLS:C0597815		Crystal Healing	https://naturalmedicines.therapeuticresearch.com/databases/health-wellness/professional.aspx?productid=1228|https://uts.nlm.nih.gov/uts/umls/concept/C0597815
1.2.8.1.5.1	Electrocrystal_Therapy			N/A	
1.2.8.1.5.2	Gemstone_Therapy			Gem Therapy	
1.2.8.1.6	Chakra_Balancing			N/A	
1.2.8.1.7	Jin_Shin_Jyutsu	UMLS:C0695525		N/A	https://uts.nlm.nih.gov/uts/umls/concept/C0695525
1.2.8.1.8	Radionics			N/A	https://en.wikipedia.org/wiki/Radionics
1.2.8.2	Veritable_Energy_Therapy			N/A	
1.2.8.2.1	Bioresonance_Therapy	UMLS:C4042760	MESH:D066236	Bio-Physical Information Therapy|Bioresonance|MORA Therapy|Bio-Resonance Therapy	http://purl.bioontology.org/ontology/MESH/D066236|https://uts.nlm.nih.gov/uts/umls/concept/C4042760
1.2.8.2.2	Cranial_Electrical_Stimulation	UMLS:C3899490		CES	https://uts.nlm.nih.gov/uts/umls/concept/C3899490|http://purl.bioontology.org/ontology/PDQ/CDR0000643527
1.2.8.2.3	Electromagnetic_Based_Therapy	UMLS:C1511136		Bioelectromagnetic Therapies|Bioelectro-Magnetics|Bioelectromagnetic-Based Therapy|Bioelectromagnetics|Electromagnetic Therapy	"https://www.cancer.gov/about-cancer/treatment/clinical-trials/intervention/C16207""|http://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C16207""|https://uts.nlm.nih.gov/uts/umls/concept/C1511136|http://purl.bioontology.org/ontology/PDQ/CDR0000574169"
1.2.8.2.3.1	Magnet_Therapy	UMLS:C1881509		N/A	http://purl.bioontology.org/ontology/PDQ/CDR0000574171|https://uts.nlm.nih.gov/uts/umls/concept/C1881509|https://www.nccih.nih.gov/health/magnets-for-pain-what-you-need-to-know
1.2.8.2.3.1.1	Static_Magnet_Therapy			N/A	
1.2.8.2.3.1.1.1	Biomagnetic_Therapy			N/A	
1.2.8.2.3.1.2	Pulsed_Electromagnetic_Fields_Therapy	UMLS:C1882505		Pulsed Electromagnetic Therapy	http://purl.bioontology.org/ontology/PDQ/CDR0000574172|https://uts.nlm.nih.gov/uts/umls/concept/C1882505
